id,values,aspek,tahun,data_title
18216019621210,59.1,Nusa Tenggara Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
19216019601210,87.99,Nusa Tenggara Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
19216019611210,74.16,Nusa Tenggara Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
19216019621210,58.17,Nusa Tenggara Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
20216019601210,81.15,Kalimantan Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
20216019611210,72.83,Kalimantan Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
20216019621210,68.46,Kalimantan Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
21216019601210,76.09,Kalimantan Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
21216019611210,75.07,Kalimantan Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
21216019621210,68.02,Kalimantan Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
22216019601210,70.13,Kalimantan Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
22216019611210,79.0,Kalimantan Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
22216019621210,76.32,Kalimantan Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
23216019601210,89.46,Kalimantan Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
23216019611210,76.67,Kalimantan Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
23216019621210,77.9,Kalimantan Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
24216019601210,82.78,Kalimantan Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
24216019611210,80.14,Kalimantan Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
24216019621210,75.11,Kalimantan Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
25216019601210,82.92,Sulawesi Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
25216019611210,79.8,Sulawesi Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
25216019621210,78.67,Sulawesi Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
26216019601210,92.76,Sulawesi Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
26216019611210,70.39,Sulawesi Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
26216019621210,72.38,Sulawesi Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
27216019601210,88.18,Sulawesi Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
27216019611210,73.06,Sulawesi Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
27216019621210,63.85,Sulawesi Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
28216019601210,79.28,Sulawesi Tenggara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
28216019611210,84.09,Sulawesi Tenggara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
28216019621210,69.33,Sulawesi Tenggara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
29216019601210,81.57,Gorontalo,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
29216019611210,81.46,Gorontalo,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
29216019621210,67.18,Gorontalo,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
30216019601210,67.24,Sulawesi Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
30216019611210,81.75,Sulawesi Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
30216019621210,62.8,Sulawesi Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
31216019601210,59.36,Maluku,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
31216019611210,79.57,Maluku,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
31216019621210,58.74,Maluku,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
32216019601210,80.61,Maluku Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
32216019611210,68.08,Maluku Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
32216019621210,58.08,Maluku Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
33216019601210,82.47,Papua Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
33216019611210,67.84,Papua Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
33216019621210,56.1,Papua Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
34216019601210,75.64,Papua,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
34216019611210,62.3,Papua,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
34216019621210,62.15,Papua,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
