id,values,provinsi,aspek,data_title
11006027901140,77.23,ACEH,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027911140,64.75,ACEH,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027921140,61.98,ACEH,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027931140,64.37,ACEH,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027841140,69.12,SUMATERA UTARA,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027851140,57.76,SUMATERA UTARA,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027861140,77.48,SUMATERA UTARA,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027871140,71.33,SUMATERA UTARA,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027881140,73.0,SUMATERA UTARA,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027891140,73.63,SUMATERA UTARA,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027901140,76.11,SUMATERA UTARA,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027911140,63.2,SUMATERA UTARA,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027921140,61.98,SUMATERA UTARA,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
12006027931140,65.76,SUMATERA UTARA,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027841140,67.65,SUMATERA BARAT,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027851140,57.04,SUMATERA BARAT,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027861140,78.87,SUMATERA BARAT,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027871140,69.42,SUMATERA BARAT,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027881140,73.1,SUMATERA BARAT,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027891140,74.48,SUMATERA BARAT,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027901140,77.03,SUMATERA BARAT,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027911140,64.21,SUMATERA BARAT,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027921140,61.43,SUMATERA BARAT,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
13006027931140,63.92,SUMATERA BARAT,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027841140,70.48,RIAU,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027851140,57.01,RIAU,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027861140,80.93,RIAU,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027871140,73.16,RIAU,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027881140,74.93,RIAU,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027891140,72.33,RIAU,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027901140,75.06,RIAU,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027911140,65.78,RIAU,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027921140,63.36,RIAU,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
14006027931140,66.75,RIAU,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027841140,71.74,JAMBI,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027851140,60.6,JAMBI,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027861140,81.86,JAMBI,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027871140,74.07,JAMBI,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027881140,76.79,JAMBI,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027891140,76.08,JAMBI,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027901140,79.45,JAMBI,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027911140,69.23,JAMBI,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027921140,66.4,JAMBI,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
15006027931140,68.53,JAMBI,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027841140,69.96,SUMATERA SELATAN,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027851140,58.88,SUMATERA SELATAN,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027861140,80.89,SUMATERA SELATAN,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027871140,72.39,SUMATERA SELATAN,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027881140,74.05,SUMATERA SELATAN,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027891140,72.76,SUMATERA SELATAN,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027901140,73.79,SUMATERA SELATAN,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027911140,64.89,SUMATERA SELATAN,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027921140,61.79,SUMATERA SELATAN,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
16006027931140,64.45,SUMATERA SELATAN,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027841140,67.74,BENGKULU,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027851140,56.36,BENGKULU,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027861140,80.64,BENGKULU,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027871140,71.17,BENGKULU,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027881140,75.31,BENGKULU,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027891140,75.15,BENGKULU,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027901140,78.01,BENGKULU,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027911140,63.2,BENGKULU,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027921140,58.18,BENGKULU,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
17006027931140,60.43,BENGKULU,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027841140,70.05,LAMPUNG,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027851140,56.07,LAMPUNG,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027861140,80.25,LAMPUNG,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027871140,72.33,LAMPUNG,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027881140,74.76,LAMPUNG,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027891140,77.14,LAMPUNG,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027901140,74.78,LAMPUNG,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027911140,65.25,LAMPUNG,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027921140,62.54,LAMPUNG,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
18006027931140,63.95,LAMPUNG,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027841140,68.88,KEP. BANGKA BELITUNG,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027851140,57.07,KEP. BANGKA BELITUNG,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027861140,77.94,KEP. BANGKA BELITUNG,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027871140,71.83,KEP. BANGKA BELITUNG,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027881140,72.98,KEP. BANGKA BELITUNG,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027891140,76.32,KEP. BANGKA BELITUNG,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027901140,78.22,KEP. BANGKA BELITUNG,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027911140,65.14,KEP. BANGKA BELITUNG,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027921140,63.01,KEP. BANGKA BELITUNG,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
19006027931140,67.69,KEP. BANGKA BELITUNG,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027841140,75.28,KEP. RIAU,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027851140,62.51,KEP. RIAU,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027861140,83.87,KEP. RIAU,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027871140,74.47,KEP. RIAU,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027881140,76.5,KEP. RIAU,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027891140,75.34,KEP. RIAU,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027901140,79.36,KEP. RIAU,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027911140,72.37,KEP. RIAU,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027921140,68.75,KEP. RIAU,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
21006027931140,72.81,KEP. RIAU,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027841140,70.83,DKI JAKARTA,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027851140,62.72,DKI JAKARTA,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027861140,77.77,DKI JAKARTA,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027871140,71.64,DKI JAKARTA,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027881140,72.31,DKI JAKARTA,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027891140,70.59,DKI JAKARTA,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027901140,72.92,DKI JAKARTA,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027911140,68.92,DKI JAKARTA,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027921140,65.56,DKI JAKARTA,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
31006027931140,69.66,DKI JAKARTA,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027841140,68.66,JAWA BARAT,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027851140,57.68,JAWA BARAT,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027861140,78.31,JAWA BARAT,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027871140,71.32,JAWA BARAT,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027881140,73.42,JAWA BARAT,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027891140,74.24,JAWA BARAT,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027901140,75.12,JAWA BARAT,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027911140,64.79,JAWA BARAT,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027921140,62.04,JAWA BARAT,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
32006027931140,64.15,JAWA BARAT,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027841140,69.83,JAWA TENGAH,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027851140,57.69,JAWA TENGAH,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027861140,77.65,JAWA TENGAH,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027871140,70.88,JAWA TENGAH,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027881140,74.38,JAWA TENGAH,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027891140,75.01,JAWA TENGAH,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027901140,77.4,JAWA TENGAH,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027911140,65.07,JAWA TENGAH,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027921140,62.16,JAWA TENGAH,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
33006027931140,63.74,JAWA TENGAH,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027841140,72.59,DI YOGYAKARTA,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027851140,62.63,DI YOGYAKARTA,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027861140,81.03,DI YOGYAKARTA,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027871140,72.01,DI YOGYAKARTA,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027881140,77.02,DI YOGYAKARTA,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027891140,76.3,DI YOGYAKARTA,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027901140,78.35,DI YOGYAKARTA,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027911140,68.38,DI YOGYAKARTA,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027921140,65.18,DI YOGYAKARTA,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
34006027931140,68.59,DI YOGYAKARTA,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027841140,70.61,JAWA TIMUR,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027851140,58.89,JAWA TIMUR,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027861140,78.05,JAWA TIMUR,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027871140,72.03,JAWA TIMUR,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027881140,74.18,JAWA TIMUR,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027891140,76.86,JAWA TIMUR,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027901140,77.85,JAWA TIMUR,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027911140,66.28,JAWA TIMUR,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027921140,64.1,JAWA TIMUR,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
35006027931140,65.87,JAWA TIMUR,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027841140,69.4,BANTEN,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027851140,58.28,BANTEN,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027861140,78.7,BANTEN,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027871140,70.86,BANTEN,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027881140,72.97,BANTEN,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027891140,74.37,BANTEN,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027901140,74.73,BANTEN,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027911140,65.01,BANTEN,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027921140,63.0,BANTEN,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
36006027931140,65.04,BANTEN,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027841140,70.14,BALI,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027851140,59.49,BALI,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027861140,79.71,BALI,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027871140,68.42,BALI,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027881140,74.02,BALI,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027891140,76.37,BALI,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027901140,79.97,BALI,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027911140,69.29,BALI,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027921140,64.09,BALI,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
51006027931140,66.04,BALI,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
