id,values,jenis_pelayanan,tahun,jenis_angka,data_title
5182311601170,6.31,Rehabilitasi Sosial,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
5182311601180,8.2,Rehabilitasi Sosial,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
5182311601190,11.91,Rehabilitasi Sosial,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
6182311591170,178.0,Reintegrasi Sosial,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
6182311591180,334.0,Reintegrasi Sosial,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
6182311591190,254.0,Reintegrasi Sosial,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
6182311601170,1.42,Reintegrasi Sosial,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
6182311601180,2.06,Reintegrasi Sosial,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
6182311601190,1.84,Reintegrasi Sosial,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
7182311591170,98.0,Pemulangan,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
7182311591180,133.0,Pemulangan,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
7182311591190,117.0,Pemulangan,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
7182311601170,0.78,Pemulangan,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
7182311601180,0.82,Pemulangan,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
7182311601190,0.85,Pemulangan,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
8182311591170,95.0,Pendampingan Tokoh Agama,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
8182311591180,177.0,Pendampingan Tokoh Agama,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
8182311591190,121.0,Pendampingan Tokoh Agama,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
8182311601170,0.76,Pendampingan Tokoh Agama,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
8182311601180,1.09,Pendampingan Tokoh Agama,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
8182311601190,0.88,Pendampingan Tokoh Agama,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
9182311591170,12550.0,Jumlah Kasus,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
9182311591180,16214.0,Jumlah Kasus,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
9182311591190,13821.0,Jumlah Kasus,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
