id,values,kelompok_pengeluaran,tahun,data_title
3143201220,8.77,Kuintil 3,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201150,8.89,Kuintil 4,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201160,8.9,Kuintil 4,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201170,8.79,Kuintil 4,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201180,8.99,Kuintil 4,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201190,9.14,Kuintil 4,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201200,9.28,Kuintil 4,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201210,9.34,Kuintil 4,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
4143201220,9.45,Kuintil 4,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201150,11.2,Kuintil 5,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201160,11.04,Kuintil 5,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201170,10.86,Kuintil 5,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201180,11.14,Kuintil 5,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201190,11.31,Kuintil 5,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201200,11.37,Kuintil 5,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201210,11.36,Kuintil 5,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
5143201220,11.2,Kuintil 5,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Kelompok Pengeluaran
